"intercept","env_range","lat_range","sim","fit_model","job"
-4.5,10,10,1,"mgcv",1
-3.5,10,10,1,"mgcv",2
-2.5,10,10,1,"mgcv",3
-4.5,30,10,1,"mgcv",4
-3.5,30,10,1,"mgcv",5
-2.5,30,10,1,"mgcv",6
-4.5,50,10,1,"mgcv",7
-3.5,50,10,1,"mgcv",8
-2.5,50,10,1,"mgcv",9
-4.5,10,30,1,"mgcv",10
-3.5,10,30,1,"mgcv",11
-2.5,10,30,1,"mgcv",12
-4.5,30,30,1,"mgcv",13
-3.5,30,30,1,"mgcv",14
-2.5,30,30,1,"mgcv",15
-4.5,50,30,1,"mgcv",16
-3.5,50,30,1,"mgcv",17
-2.5,50,30,1,"mgcv",18
-4.5,10,50,1,"mgcv",19
-3.5,10,50,1,"mgcv",20
-2.5,10,50,1,"mgcv",21
-4.5,30,50,1,"mgcv",22
-3.5,30,50,1,"mgcv",23
-2.5,30,50,1,"mgcv",24
-4.5,50,50,1,"mgcv",25
-3.5,50,50,1,"mgcv",26
-2.5,50,50,1,"mgcv",27
-4.5,10,10,2,"mgcv",28
-3.5,10,10,2,"mgcv",29
-2.5,10,10,2,"mgcv",30
-4.5,30,10,2,"mgcv",31
-3.5,30,10,2,"mgcv",32
-2.5,30,10,2,"mgcv",33
-4.5,50,10,2,"mgcv",34
-3.5,50,10,2,"mgcv",35
-2.5,50,10,2,"mgcv",36
-4.5,10,30,2,"mgcv",37
-3.5,10,30,2,"mgcv",38
-2.5,10,30,2,"mgcv",39
-4.5,30,30,2,"mgcv",40
-3.5,30,30,2,"mgcv",41
-2.5,30,30,2,"mgcv",42
-4.5,50,30,2,"mgcv",43
-3.5,50,30,2,"mgcv",44
-2.5,50,30,2,"mgcv",45
-4.5,10,50,2,"mgcv",46
-3.5,10,50,2,"mgcv",47
-2.5,10,50,2,"mgcv",48
-4.5,30,50,2,"mgcv",49
-3.5,30,50,2,"mgcv",50
-2.5,30,50,2,"mgcv",51
-4.5,50,50,2,"mgcv",52
-3.5,50,50,2,"mgcv",53
-2.5,50,50,2,"mgcv",54
-4.5,10,10,3,"mgcv",55
-3.5,10,10,3,"mgcv",56
-2.5,10,10,3,"mgcv",57
-4.5,30,10,3,"mgcv",58
-3.5,30,10,3,"mgcv",59
-2.5,30,10,3,"mgcv",60
-4.5,50,10,3,"mgcv",61
-3.5,50,10,3,"mgcv",62
-2.5,50,10,3,"mgcv",63
-4.5,10,30,3,"mgcv",64
-3.5,10,30,3,"mgcv",65
-2.5,10,30,3,"mgcv",66
-4.5,30,30,3,"mgcv",67
-3.5,30,30,3,"mgcv",68
-2.5,30,30,3,"mgcv",69
-4.5,50,30,3,"mgcv",70
-3.5,50,30,3,"mgcv",71
-2.5,50,30,3,"mgcv",72
-4.5,10,50,3,"mgcv",73
-3.5,10,50,3,"mgcv",74
-2.5,10,50,3,"mgcv",75
-4.5,30,50,3,"mgcv",76
-3.5,30,50,3,"mgcv",77
-2.5,30,50,3,"mgcv",78
-4.5,50,50,3,"mgcv",79
-3.5,50,50,3,"mgcv",80
-2.5,50,50,3,"mgcv",81
-4.5,10,10,4,"mgcv",82
-3.5,10,10,4,"mgcv",83
-2.5,10,10,4,"mgcv",84
-4.5,30,10,4,"mgcv",85
-3.5,30,10,4,"mgcv",86
-2.5,30,10,4,"mgcv",87
-4.5,50,10,4,"mgcv",88
